Feature,Importance
eqpdays,0.030094113645609846
change_mou,0.02218225082512125
months,0.021070473223569638
mou_Mean,0.01923900155926066
adjrev,0.019108406678646855
totrev,0.018398763922268677
avgqty,0.018347853396531236
avgrev,0.018089290176915063
avgmou,0.01805013952783323
change_rev,0.01803147680992063
totcalls,0.0176059180534141
rev_Mean,0.017445342583116915
totmou,0.017403734314461596
avg3mou,0.01737923817334195
adjqty,0.017317679710372312
adjmou,0.017173419121068238
avg6mou,0.016423095200511918
avg3qty,0.01630939500555488
mou_cvce_Mean,0.016151894517217515
mou_peav_Mean,0.016098326601097734
mou_opkv_Mean,0.015933729779752895
avg6qty,0.015677504621818248
totmrc_Mean,0.015251872019769484
mouowylisv_Mean,0.015145690785650074
mou_rvce_Mean,0.014693610216543106
peak_vce_Mean,0.014670750996786887
avg6rev,0.014647449772440311
unan_vce_Mean,0.014598415694147517
opk_vce_Mean,0.014525401755547573
avg3rev,0.014345546548903377
recv_vce_Mean,0.013973828385300795
comp_vce_Mean,0.013889503899214964
plcd_vce_Mean,0.013784849957123481
owylis_vce_Mean,0.013728102403963766
complete_Mean,0.013686471511259355
attempt_Mean,0.013583746829449057
inonemin_Mean,0.013569512437048665
drop_blk_Mean,0.01344454393785334
mouiwylisv_Mean,0.013072103496519003
drop_vce_Mean,0.012849078155662412
ovrrev_Mean,0.011423705282204218
ovrmou_Mean,0.011208328102406984
iwylis_vce_Mean,0.010940171190320726
blck_vce_Mean,0.01076793388535777
vceovr_Mean,0.010742259004945418
hnd_price,0.010239535599753491
lor,0.010164392607394858
cc_mou_Mean,0.008914835604155569
da_Mean,0.008560423962371243
income,0.008295965232911795
roam_Mean,0.007994499581210615
ccrndmou_Mean,0.007771704866270264
callwait_Mean,0.007310857722365442
custcare_Mean,0.007278316932415406
adults,0.006833704202263998
uniqsubs,0.005313777595794992
phones,0.005022674574880318
numbcars,0.004646615231654072
threeway_Mean,0.004424077853825747
models,0.003989315100108463
actvsubs,0.003426063502972278
datovr_Mean,0.00294570113925176
mou_cdat_Mean,0.002926910332665519
hnd_webcap_WCMB,0.0028423323773099905
ethnic_N,0.002711443070275295
prizm_social_one_S,0.0025792685881882134
plcd_dat_Mean,0.0025666296423457013
crclscod_AA,0.0025478969431262793
new_cell_U,0.002412928869681848
prizm_social_one_U,0.0023363806174593943
HHstatin_C,0.0023059019341960646
comp_dat_Mean,0.00225390860782571
mou_opkd_Mean,0.0022361684260469917
HHstatin_nan,0.0022141828571470863
new_cell_Y,0.0022034491788397877
prizm_social_one_C,0.002195774672764804
prizm_social_one_T,0.0021570361209645238
dualband_N,0.0021061933131334494
dualband_Y,0.0021002001138616284
marital_S,0.0020887462794630758
marital_U,0.0020756119029323454
marital_M,0.0020687035335017452
mou_pead_Mean,0.002063506363340628
asl_flag_N,0.0020090048290813205
dwlltype_S,0.001999082850952681
ethnic_S,0.001993863867787867
refurb_new_N,0.0019845174288670125
dwllsize_A,0.0019788017518208136
new_cell_N,0.0019465398039070717
refurb_new_R,0.0019245030650451788
ethnic_H,0.0019153731635189646
asl_flag_Y,0.0019040905296728546
dwlltype_M,0.0018999282906285192
ethnic_U,0.0018766364494687846
crclscod_BA,0.0018730556378367342
dwllsize_nan,0.001849411239520583
ownrent_O,0.0018486069987582441
truck_0.0,0.0018473410398352518
area_NEW YORK CITY AREA,0.0017800413715914024
opk_dat_Mean,0.0017678294005411019
truck_1.0,0.0017474022654609615
creditcd_N,0.0017370702675333243
crclscod_A,0.0017369961873222601
dwlltype_nan,0.0017101388872711532
peak_dat_Mean,0.001664221347135811
crclscod_EA,0.001655122910875612
HHstatin_I,0.0016547512507238506
ownrent_nan,0.001651601331956868
hnd_webcap_nan,0.0016094873074169965
creditcd_Y,0.0015688754653929837
area_SOUTHWEST AREA,0.0015537221589358213
area_DC/MARYLAND/VIRGINIA AREA,0.001544120120125567
hnd_webcap_WC,0.0015348438857591673
kid16_17_U,0.001524152033708734
prizm_social_one_nan,0.0015138633883649661
area_MIDWEST AREA,0.0014901754024176136
area_LOS ANGELES AREA,0.001464987928136268
crclscod_CA,0.0014586215025195338
kid6_10_U,0.0014274129880764163
kid11_15_U,0.001405053163927705
kid16_17_Y,0.0013936725873075046
ethnic_G,0.00138955652338452
area_NEW ENGLAND AREA,0.0013757632063829315
area_ATLANTIC SOUTH AREA,0.0013741302326657095
rv_0.0,0.0013734195554802617
area_CALIFORNIA NORTH AREA,0.0013685944730671554
area_DALLAS AREA,0.001342075380453994
kid6_10_Y,0.0013360271573894886
area_NORTHWEST/ROCKY MOUNTAIN AREA,0.001328027085037212
ethnic_O,0.00132314704197072
kid11_15_Y,0.0013182157583731275
marital_B,0.001315341935598201
rv_1.0,0.001307296984317404
ethnic_Z,0.0012945898218138883
area_NORTH FLORIDA AREA,0.0012884370433464787
infobase_nan,0.001232332921418449
forgntvl,0.0012286273455812643
area_CHICAGO AREA,0.0012276719655517198
prizm_social_one_R,0.0012243045205837355
infobase_M,0.0012083694607681148
area_CENTRAL/SOUTH TEXAS AREA,0.0011976022443396226
marital_A,0.0011907209060523997
area_GREAT LAKES AREA,0.001159548741234696
area_OHIO AREA,0.001138103615119305
HHstatin_A,0.0011241030331860565
dwllsize_B,0.0011029584679492868
ethnic_I,0.0011010410607318246
kid3_5_U,0.0010933149541845788
area_HOUSTON AREA,0.0010855669282630884
area_SOUTH FLORIDA AREA,0.001028760147038285
kid3_5_Y,0.0010201987144335737
crclscod_B,0.0010050057238685484
kid0_2_U,0.0010011889976730883
HHstatin_B,0.0009571190971549382
crclscod_DA,0.0009113022429739593
kid0_2_Y,0.0008914612418020443
area_TENNESSEE AREA,0.0008551966295699632
crclscod_ZA,0.0008298934594990397
ethnic_J,0.0008116372310434353
dualband_T,0.0007676671484326601
unan_dat_Mean,0.0007610392730004158
area_PHILADELPHIA AREA,0.0007476254567571092
ethnic_F,0.0006726081981379218
drop_dat_Mean,0.0006554898224202208
ownrent_R,0.0006072853841176152
HHstatin_G,0.000577627684262674
dwllsize_J,0.000500175181859335
ethnic_B,0.00048786605124468487
dwllsize_C,0.0004664457459747686
crclscod_C,0.00042883185951588285
dwllsize_O,0.00040896800192142244
ethnic_R,0.00038828310075112246
dwllsize_N,0.00035999728004387674
ethnic_D,0.00035647285780904985
blck_dat_Mean,0.00032334079055204953
HHstatin_H,0.00031601083918889506
recv_sms_Mean,0.0003155439371886708
crclscod_E4,0.0003099467622709424
dwllsize_D,0.00030222484145300837
crclscod_A2,0.0002994447148940385
dwllsize_K,0.00024863401141681044
kid3_5_nan,0.00023264727851662014
rv_nan,0.0002287896619222969
kid11_15_nan,0.00022724260845084491
kid6_10_nan,0.00022214421967376187
ethnic_nan,0.00021862298185096714
marital_nan,0.00021858387304216943
creditcd_nan,0.00021232621394758368
kid16_17_nan,0.0002116577648702241
truck_nan,0.00021133877471073357
kid0_2_nan,0.00020866668918808018
dwllsize_E,0.00018652555947873766
dwllsize_L,0.00018435146546805329
dwllsize_F,0.00017165578974893785
callfwdv_Mean,0.0001674242876524239
crclscod_U,0.0001552911053523213
crclscod_E,0.0001328042071636596
dwllsize_H,0.00012846082612812123
ethnic_P,0.00012514348436001347
dwllsize_M,0.00012272649875030105
dwllsize_G,0.0001187956218886242
crclscod_GA,0.00011565990997814232
crclscod_I,9.964587028604825e-05
dwllsize_I,9.87998029657586e-05
crclscod_B2,9.878145073234236e-05
crclscod_G,9.709452879827832e-05
crclscod_D4,9.417559361538706e-05
crclscod_Z4,8.876768264224799e-05
crclscod_D,8.676553834323414e-05
hnd_webcap_UNKW,8.574471106891763e-05
ethnic_C,8.355564136855924e-05
crclscod_M,8.049429053315845e-05
crclscod_JF,8.049277647290735e-05
crclscod_C2,7.965256980366084e-05
dualband_U,7.893999919649345e-05
crclscod_CY,7.123783498937336e-05
infobase_N,6.88026648697441e-05
crclscod_Z,6.859544491244345e-05
crclscod_J,6.04023066041046e-05
ethnic_M,5.106809671489257e-05
crclscod_ZY,4.733092298711079e-05
crclscod_W,4.1024780776812546e-05
crclscod_U1,3.2774388662528785e-05
crclscod_C5,3.0821038085272785e-05
crclscod_K,3.066888336429221e-05
ethnic_X,2.8334458671187044e-05
crclscod_D5,2.726396709358685e-05
crclscod_EC,2.381487247467269e-05
crclscod_V1,2.3293074287600775e-05
crclscod_EM,2.3187047160269952e-05
crclscod_Z5,1.897996831937885e-05
crclscod_GY,1.645425114200503e-05
crclscod_Y,1.255639751747405e-05
area_nan,1.189542019900213e-05
crclscod_CC,8.342152106770722e-06
crclscod_E2,7.985681117248898e-06
crclscod_O,6.762418490686356e-06
crclscod_IF,6.644878850309958e-06
crclscod_Z1,5.528156439889287e-06
crclscod_D2,3.915677350972493e-06
crclscod_P1,3.22085490428491e-06
crclscod_H,2.600194906724171e-06
crclscod_Z2,2.026515479191411e-06
crclscod_TP,1.2107756226880912e-06
crclscod_EF,7.777887154315885e-07
crclscod_L,7.158678492422685e-07
crclscod_V,6.756887715163657e-07
refurb_new_nan,3.750340251963321e-07
dualband_nan,2.835563556238583e-07
crclscod_ZF,0.0
crclscod_A3,0.0
crclscod_S,0.0
